Majors,Terms in Attendance
Letters & Sci Undeclared UG,4
"Letters & Sci Undeclared UG, Sustainable Environ Dsgn BA",5
Letters & Sci Undeclared UG,5
"Architecture BA, Data Science BA",5
Letters & Sci Undeclared UG,5
Cognitive Science BA,5
Data Science BA,5
Letters & Sci Undeclared UG,5
"Computer Science BA, Data Science BA",5
Computer Science BA,5
Letters & Sci Undeclared UG,5
Letters & Sci Undeclared UG,5
Computer Science BA,5
Letters & Sci Undeclared UG,5
Letters & Sci Undeclared UG,5
Computer Science BA,5
Data Science BA,5
Letters & Sci Undeclared UG,5
"Applied Mathematics BA, Computer Science BA",5
Cognitive Science BA,5
Letters & Sci Undeclared UG,5
"Letters & Sci Undeclared UG, Molecular Environ Biology BS",5
Computer Science BA,5
Letters & Sci Undeclared UG,5
"Computer Science BA, Economics BA",5
"Computer Science BA, Economics BA",5
Letters & Sci Undeclared UG,5
Non-UC Campus Visitor L&S UG,5
Letters & Sci Undeclared UG,6
Applied Mathematics BA,6
Mathematics BA,6
Economics BA,6
"Energy Engineering BS, Environmental Sciences BS",6
Data Science BA,6
Electrical Eng & Comp Sci BS,6
Economics BA,6
Letters & Sci Undeclared UG,6
Bioengineering BS,6
Electrical Eng & Comp Sci BS,6
Electrical Eng & Comp Sci BS,6
Electrical Eng & Comp Sci BS,6
Electrical Eng & Comp Sci BS,6
"Business Administration BS, Electrical Eng & Comp Sci BS",6
Economics BA,6
Computer Science BA,6
Computer Science BA,6
Electrical Eng & Comp Sci BS,6
Chemical Engineering BS,6
Cognitive Science BA,6
Electrical Eng & Comp Sci BS,6
Bioengineering BS,6
Data Science BA,6
Economics BA,6
Computer Science BA,6
Electrical Eng & Comp Sci BS,6
Data Science BA,6
Electrical Eng & Comp Sci BS,6
"Business Administration BS, Letters & Sci Undeclared UG",6
MCB-Immunology BA,6
"Cognitive Science BA, Computer Science BA",6
Economics BA,6
Electrical Eng & Comp Sci BS,6
Data Science BA,6
Electrical Eng & Comp Sci BS,6
"Electrical Eng & Comp Sci BS, Mechanical Engineering BS",6
Letters & Sci Undeclared UG,6
Electrical Eng & Comp Sci BS,6
Letters & Sci Undeclared UG,6
Computer Science BA,6
Computer Science BA,6
Letters & Sci Undeclared UG,6
Electrical Eng & Comp Sci BS,6
Molecular & Cell Biology BA,6
Chemical Engineering BS,6
Electrical Eng & Comp Sci BS,6
Economics BA,6
"Business Administration BS, Electrical Eng & Comp Sci BS",6
"Chemistry BS, Letters & Sci Undeclared UG",6
Electrical Eng & Comp Sci BS,6
Applied Mathematics BA,6
Letters & Sci Undeclared UG,6
"Nutritional Science BS, Public Health BA",6
Letters & Sci Undeclared UG,6
Economics BA,6
"Computer Science BA, Economics BA",6
Microbial Biology BS,6
Computer Science BA,6
Electrical Eng & Comp Sci BS,6
Economics BA,6
Data Science BA,6
Civil Engineering BS,6
Computer Science BA,6
"CNR Undeclared UG, Computer Science BA",6
Data Science BA,6
Applied Mathematics BA,6
Computer Science BA,6
Bioengineering BS,6
"Cognitive Science BA, Computer Science BA",6
Data Science BA,6
Electrical Eng & Comp Sci BS,6
Data Science BA,6
Computer Science BA,6
Public Health BA,6
Computer Science BA,6
"Business Administration BS, Letters & Sci Undeclared UG",6
Computer Science BA,6
Bioengineering BS,6
Bioengineering BS,6
Bioengineering BS,6
Applied Mathematics BA,6
